시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강북구 수유동,단독,135.09,79,21~31,"22,800",1991,인수봉로38길
 서울특별시 강북구 수유동,단독,42.98,83.95,1~10,"26,600",1950,노해로27길
 서울특별시 강북구 수유동,단독,49.59,83.95,1~10,"25,390",1950,노해로27길
 서울특별시 강북구 수유동,단독,56.66,89,21~31,"15,400",1968,삼양로111길
 서울특별시 강북구 수유동,단독,95.96,89,1~10,"29,610",1984,노해로27길
 서울특별시 강북구 수유동,단독,108.24,90.9,1~10,"33,000",1971,도봉로71길
 서울특별시 강북구 수유동,단독,75.37,93,1~10,"22,800",1971,삼양로71길
 서울특별시 강북구 수유동,단독,48.57,101,21~31,"15,300",2009,인수봉로23가길
 서울특별시 강북구 수유동,단독,155.35,102,11~20,"31,000",1986,삼양로136길
 서울특별시 강북구 수유동,단독,82.38,102.8,1~10,"50,500",1971,한천로138길
 서울특별시 강북구 수유동,단독,257.06,115.4,11~20,"51,000",1993,도봉로95길
 서울특별시 강북구 수유동,단독,63.65,119,11~20,"30,500",1970,노해로
 서울특별시 강북구 수유동,단독,83.18,119,11~20,"33,400",1970,인수봉로40길
 서울특별시 강북구 수유동,단독,148.86,124.6,21~31,"36,500",1993,노해로17길
 서울특별시 강북구 수유동,단독,81,126,21~31,"48,800",1974,인수봉로56길
 서울특별시 강북구 수유동,단독,183.75,126,21~31,"54,400",1988,인수봉로56길
 서울특별시 강북구 수유동,단독,198.09,126.9,1~10,"46,050",1993,한천로170길
 서울특별시 강북구 수유동,단독,79.34,136,1~10,"43,190",1973,인수봉로55길
 서울특별시 강북구 수유동,단독,97.43,139,1~10,"44,140",1973,인수봉로55길
 서울특별시 강북구 수유동,단독,126.03,141.5,21~31,"55,600",1969,한천로143길
 서울특별시 강북구 수유동,단독,66.38,142,21~31,"38,500",1950,인수봉로76길
 서울특별시 강북구 수유동,단독,136.8,143,1~10,"35,800",1983,노해로33길
 서울특별시 강북구 수유동,단독,75.47,155,1~10,"51,560",1973,인수봉로55길
 서울특별시 강북구 수유동,단독,105.45,159,11~20,"48,000",1980,노해로27길
 서울특별시 강북구 수유동,단독,157.89,166,21~31,"45,450",1984,노해로
 서울특별시 강북구 수유동,단독,240.24,169,11~20,"66,300",1988,한천로166길
 서울특별시 강북구 수유동,단독,249.18,170,11~20,"55,000",1986,삼양로126길
